parent,name*,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,glossaryStatus,extension
,634457935.3,234000000.0,227000000,,,,654000000,,,,
,634457935.3,313000000.0,241000000,,,,663000000,,,,
,634457935.3,8950000000.0,7691000000,,,,23390000000,,,,
,634457935.3,8042000000.0,9224000000,,,,23087000000,,,,
,634457935.3,9166000000.0,8050000000,,,,24681000000,,,,
,634457935.3,6119000000.0,5470000000,,,,20046000000,,,,
,634457935.3,499000000.0,374000000,,,,1498000000,,,,
,634457935.3,353000000.0,277000000,,,,1414000000,,,,
,634457935.3,1155000000.0,860000000,,,,3069000000,,,,
,634457935.3,410000000.0,331000000,,,,1359000000,,,,
,139000000.0,392000000.0,298000000,,,,1254000000,,,,
,128000000.0,351000000.0,298000000,,,,1174000000,,,,
,132000000.0,210000000.0,168000000,,,,1260000000,,,,
,122000000.0,415000000.0,356000000,,,,1209000000,,,,
,344000000.0,514000000.0,525000000,,,,2161000000,,,,
,317000000.0,305000000.0,299000000,,,,2283000000,,,,
,291000000.0,1157000000.0,1003000000,,,,2766000000,,,,
,299000000.0,143000000.0,128000000,,,,2509000000,,,,
,634457935.3,798000000.0,734000000,,,,2810000000,,,,
,634457935.3,767000000.0,595000000,,,,2709000000,,,,
,634457935.3,1043000000.0,816000000,,,,3530000000,,,,
,634457935.3,555000000.0,391000000,,,,2831000000,,,,
,65291000.0,1156775000.0,914114000,,,,402698000,,,,
,56912000.0,1297203000.0,977414000,,,,424527000,,,,
,66965000.0,1078533000.0,839102000,,,,458255000,,,,
,59546000.0,1684461000.0,1314824000,,,,367311000,,,,
,20721000.0,7113000.0,14960000,,,,177509000,,,,
,17052000.0,45354000.0,45782000,,,,168274000,,,,
,16789000.0,56368000.0,46274000,,,,150923000,,,,
,16041000.0,39339000.0,33395000,,,,137731000,,,,
,585100000.0,616400000.0,448500000,,,,2315300000,,,,
,514200000.0,448800000.0,410200000,,,,2215900000,,,,
,1719800000.0,370900000.0,357900000,,,,2362000000,,,,
,1140900000.0,944700000.0,701500000,,,,2927000000,,,,
,634457935.3,2201000000.0,1378000000,,,,2429000000,,,,
,634457935.3,1591000000.0,1199000000,,,,2164000000,,,,
,634457935.3,2167000000.0,1548000000,,,,2349000000,,,,
,634457935.3,1981000000.0,1364000000,,,,2245000000,,,,
,634457935.3,1162000000.0,947000000,,,,4080000000,,,,
,634457935.3,1268000000.0,1022000000,,,,4046000000,,,,
,634457935.3,1153000000.0,927000000,,,,4004000000,,,,
,634457935.3,903000000.0,750000000,,,,3828000000,,,,
,575000000.0,-310000000.0,-109000000,,,,2130000000,,,,
,497000000.0,549000000.0,587000000,,,,2925000000,,,,
,499000000.0,-572000000.0,-537000000,,,,1977000000,,,,
,605000000.0,-8625000000.0,-8420000000,,,,-4062000000,,,,
,634457935.3,-41000000.0,-167000000,,,,1474000000,,,,
,634457935.3,-278000000.0,-55000000,,,,589000000,,,,
,634457935.3,245000000.0,-165000000,,,,747000000,,,,
,634457935.3,835000000.0,801000000,,,,2123000000,,,,
,634457935.3,302000000.0,247000000,,,,762000000,,,,
,634457935.3,136000000.0,65000000,,,,818000000,,,,
,634457935.3,596000000.0,358000000,,,,772000000,,,,
,634457935.3,272000000.0,111000000,,,,517000000,,,,
,634457935.3,141250000.0,111703000,,,,457565000,,,,
,634457935.3,128147000.0,100596000,,,,446779000,,,,
,634457935.3,24905000.0,10311000,,,,393120000,,,,
,634457935.3,118060000.0,92479000,,,,424219000,,,,
,298000000.0,149000000.0,186000000,,,,2120000000,,,,
,276000000.0,325000000.0,341000000,,,,1846000000,,,,
,282000000.0,306000000.0,210000000,,,,2086000000,,,,
,315000000.0,-227000000.0,-155000000,,,,1778000000,,,,
,2261000000.0,1553000000.0,1055000000,,,,9340000000,,,,
,2225000000.0,2530000000.0,2021000000,,,,8649000000,,,,
,2579000000.0,-10451000000.0,-10027000000,,,,8833000000,,,,
,2273000000.0,2257000000.0,1872000000,,,,8497000000,,,,
,1205000000.0,1726000000.0,1876000000,,,,5049000000,,,,
,1238000000.0,1486000000.0,1493000000,,,,4911000000,,,,
,1211000000.0,1384000000.0,1378000000,,,,4841000000,,,,
,1182000000.0,1137000000.0,1324000000,,,,4714000000,,,,
,634457935.3,216900000.0,165000000,,,,429300000,,,,
,634457935.3,69400000.0,56300000,,,,248400000,,,,
,634457935.3,73600000.0,65800000,,,,230300000,,,,
,634457935.3,294700000.0,229700000,,,,477700000,,,,
,634457935.3,239207000.0,199744000,,,,385528000,,,,
,634457935.3,130916000.0,97320000,,,,267038000,,,,
,634457935.3,158528000.0,133979000,,,,308629000,,,,
,634457935.3,129401000.0,96784000,,,,251642000,,,,
,634457935.3,212069000.0,173305000,,,,341545000,,,,
,634457935.3,194769000.0,147807000,,,,331318000,,,,
,634457935.3,160774000.0,136529000,,,,286369000,,,,
,634457935.3,178576000.0,143939000,,,,313970000,,,,
,285227000.0,183265000.0,155900000,,,,651526000,,,,
,270992000.0,202421000.0,187169000,,,,652061000,,,,
,290309000.0,186189000.0,173738000,,,,686373000,,,,
,250934000.0,165713000.0,161630000,,,,584323000,,,,
,634457935.3,101000000.0,71000000,,,,1457000000,,,,
,634457935.3,-496000000.0,-423000000,,,,947000000,,,,
,634457935.3,-496000000.0,-555000000,,,,712000000,,,,
,634457935.3,-789000000.0,-926000000,,,,710000000,,,,
,22000000.0,219000000.0,160000000,,,,630000000,,,,
,19000000.0,347000000.0,245000000,,,,781000000,,,,
,20000000.0,406000000.0,309000000,,,,814000000,,,,
,24000000.0,107000000.0,86000000,,,,750000000,,,,
,634457935.3,4568000000.0,3536000000,,,,8534000000,,,,
,634457935.3,4196000000.0,3325000000,,,,7936000000,,,,
,634457935.3,3064000000.0,2566000000,,,,7073000000,,,,
,634457935.3,3502000000.0,2406000000,,,,7050000000,,,,
,634457935.3,119000000.0,116000000,,,,1672000000,,,,
,634457935.3,440000000.0,119000000,,,,1812000000,,,,
,634457935.3,427000000.0,629000000,,,,1776000000,,,,
,634457935.3,-663000000.0,-253000000,,,,1715000000,,,,
,634457935.3,567324000.0,436756000,,,,1166240000,,,,
,634457935.3,262249000.0,209945000,,,,829589000,,,,
,634457935.3,310503000.0,235300000,,,,807875000,,,,
,634457935.3,388341000.0,296696000,,,,899338000,,,,
,634457935.3,-2060000000.0,-2072000000,,,,-359000000,,,,
,634457935.3,-1979000000.0,-1973000000,,,,-328000000,,,,
,634457935.3,-2237000000.0,-2222000000,,,,-351000000,,,,
,634457935.3,-2860000000.0,-2858000000,,,,-400000000,,,,
,125000000.0,731000000.0,487000000,,,,1625000000,,,,
,121000000.0,496000000.0,384000000,,,,1399000000,,,,
,127000000.0,1176000000.0,884000000,,,,1300000000,,,,
,100000000.0,1009000000.0,741000000,,,,1560000000,,,,
,634457935.3,221500000.0,182400000,,,,439300000,,,,
